,130,130-1,14,179,191,198,203-1,209,210,218,228,235,243,285,289,289-1,290,290-1,290-4,290-5,292,293,295,295-3,309,328,333-1,339,341,342,343,346,349,350,352,354,356,357,359,361,361-1,361-2,361-4,363,364,365,366,367,368,369,369-1,370,371,375,389,391,406,411,424,426,430,431,435
130,925,17,2,19,8,4,43,0,0,9,0,0,6,11,10,7,2,6,12,3,0,45,8,6,6,3,0,9,10,150,3,0,0,0,14,0,13,47,6,186,154,24,94,0,19,5,32,126,314,257,42,27,0,0,6,22,5,15,3,7,3,0,0
130-1,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,2,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,21,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,12,0,3,0,0,0,5,3,0,0,0,0,0,0,2,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
179,19,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
191,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
203-1,43,0,0,2,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,16,0,0,0,0,16,0,0,0,0,8,6,3,11,0,5,2,6,16,24,29,3,6,0,0,3,5,0,0,0,7,0,0,0
209,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,9,0,0,0,0,0,0,0,0,43,0,0,0,3,2,0,0,0,2,0,0,10,9,3,0,0,0,15,9,14,0,0,0,0,0,0,0,0,3,4,4,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
